Name,RA,DEC,LightYears
Andromeda galaxy = M31 = NGC 0224,00 42.7,+41 16,2.538
Andromeda I,00 45.7,+38 00,2.6
Andromeda II,01 16.3,+33 25,2.23
Andromeda III,00 35.3,+36 31,2.451
Aquarius Dwarf = DDO 210,20 46.9,-12 51,3.2
Barnard's Galaxy = NGC 6822,19 44.9,-14 48,1.63
Bode's Galaxies = M81/82 = NGC 3031/34,09 55.7,+69 23,11.58
Carina dwarf,06 41.6,-50 58,0.33
Centaurus A = NGC 5128 = Arp 135,13 25.5,-43 01,12.01
Circinus galaxy,14 13.2,-65 20,7.4
Draco dwarf = DDO 208,17 20.2,+57 55,0.258
Fornax dwarf,02 39.9,-34 32,0.46
Grus Quartet = NGC 7552/82/90/99,23 17.8,-42 26,0.285
GR8 = DDO 155,12 58.7,+14 13,7.9
Hercules A,16 51.2,+04 59,0.43
Holmberg II = DDO 050 = Arp 268,08 19.3,+70 43,11.06
Horologium Dwarf = Schuster's Spiral,03 59.2,-45 52,0.25
Large Magellanic Cloud,05 23.6,-69 45,0.163
Leo I = Harrington-Wilson No. 1,10 08.5,+12 18,0.82
Leo II = Harrington-Wilson No.2,11 13.4,+22 10,0.701
Leo A = Leo III = DDO 069,09 59.3,+30 45,2.25
Maffei I = UGCA 034,02 36.3,+59 39,9.78
Maffei II = UGCA 039,02 42.0,+59 37,9.8
Pegasus Dwarf = DDO 216,23 28.5,+14 44,2.55
Phoenix Dwarf Irregular,01 51.1,-44 26,1.44
Pisces Dwarf = LGS 3,00 03.8,+21 54,2.51
Sculptor Dwarf,01 00.2,-33 42,0.081
Sculptor Dwarf Irregular,00 08.1,-34 34,3.39
Sextans A = DDO 075,10 11.0,-04 41,4.31
Sextans B = DDO 070,10 00.0,+05 19,4.44
Small Magellanic Cloud,00 52.7,-72 50,0.206
Triangulum galaxy = M33 = NGC 0598,01 33.9,+30 39,2.73
Ursa Minor dwarf = DDO 199,15 08.8,+67 12,0.206
Zwicky No.2 = DDO 105,11 58.4,+38 03,3.04